c MST generated by Kruskal's Algorithm using Quick Sort
e 13043 22467 280
e 24633 36383 280
e 18194 20850 281
e 13572 26989 281
e 8089 28119 281
e 30031 35837 281
e 5219 18050 281
e 1221 3630 282
e 24450 26913 282
e 17193 24907 282
e 3521 15380 282
e 25685 38714 282
e 10803 32273 282
e 114 421 282
e 4331 8728 282
e 9714 28137 282
e 15687 32806 282
e 11640 19440 283
e 10211 22176 283
e 10160 18616 283
e 5655 7174 284
e 6417 7169 284
e 18333 37946 284
e 17975 19538 284
e 6206 26740 284
e 37780 38920 284
e 1915 17671 284
e 79 18630 284
e 1159 26963 284
e 13865 16954 284
e 8412 11378 284
e 319 13235 285
e 6645 32820 285
e 18887 24382 285
e 20740 34596 285
e 3907 11547 287
e 12106 24123 287
e 8230 19977 287
e 14383 22875 287
e 27407 30198 287
e 6861 20665 287
e 14315 37914 288
e 13592 22404 288
e 26740 37578 288
e 9300 23806 288
e 3238 4672 288
e 8950 29368 289
e 6419 38742 289
e 23999 30858 289
e 6685 30929 289
e 10066 38861 289
e 29905 35123 290
e 6362 30063 290
e 11952 30123 290
e 9550 21530 290
e 16054 38659 290
e 11847 24300 290
e 32953 39533 291
e 19527 21283 291
e 26 89 291
e 10870 13296 291
e 21799 37251 291
e 14762 28185 291
e 15473 33117 291
e 30941 32139 292
e 7286 19715 293
e 6220 24648 293
e 14998 25625 293
e 10217 26945 293
e 9373 34119 293
e 1027 14430 293
e 7245 38080 294
e 288 17511 294
e 5637 31388 294
e 22804 29293 294
e 6818 19153 295
e 13520 24004 295
e 1964 32302 296
e 862 35128 296
e 13616 35246 296
e 6689 16875 296
e 21559 27657 296
e 15108 30603 296
e 16156 33707 296
e 2187 4063 297
