c MST generated by Kruskal's Algorithm using Quick Sort
e 75832 88346 21
e 76201 77794 21
e 14695 99179 21
e 56090 86434 21
e 20993 47890 21
e 5378 81589 21
e 74713 82241 21
e 24497 78909 21
e 45381 69042 22
e 5467 43328 22
e 84266 96234 22
e 40627 78310 22
e 17147 18158 22
e 26159 95867 22
e 41426 60002 22
e 41493 74767 22
e 41752 77552 22
e 38412 45047 22
e 26033 74779 22
e 14671 47830 22
e 18207 32005 22
e 44064 81700 22
e 26377 72166 22
e 2783 61532 22
e 13807 77988 22
e 12856 30446 22
e 46512 53144 22
e 19181 81198 22
e 35777 98652 22
e 39506 88022 22
e 35468 53976 22
e 87446 97088 22
e 19972 39856 22
e 79699 99112 22
e 10734 93373 22
e 50967 70795 22
e 51544 82159 22
e 10320 53753 22
e 10247 67980 22
e 10238 27331 22
e 52047 95342 22
e 20891 84359 22
e 4308 78085 22
e 33130 61631 22
e 88742 91768 22
e 551 49588 22
e 27900 55590 22
e 54498 66061 22
e 54699 86761 22
e 77956 99699 22
e 90202 92887 22
e 8122 90207 22
e 56945 70994 22
e 22477 41600 22
e 22506 84027 22
e 58031 76121 22
e 59225 95381 22
e 59355 81469 22
e 30375 44039 22
e 4995 35031 22
e 6604 29685 22
e 29831 43179 22
e 5947 40050 22
e 5247 55770 22
e 75876 88592 22
e 48216 90146 23
e 48060 76652 23
e 36396 82303 23
e 12292 61314 23
e 47537 63146 23
e 59655 64714 23
e 7142 73176 23
e 10027 11714 23
e 3747 68008 23
e 12630 55153 23
e 7229 51752 23
e 70436 99286 23
e 28639 75259 23
e 16065 52634 23
e 40803 77728 23
e 2837 71740 23
e 3133 83909 23
e 5916 81082 23
e 2672 18728 23
e 29335 66338 23
e 2833 35895 23
e 2030 63088 23
e 15770 93405 23
e 8400 18675 23
e 15540 85466 23
e 33741 84222 23
e 51135 60055 23
e 17476 39657 23
e 28100 60209 23
e 27678 39609 23
e 32785 77661 23
e 67648 74203 23
e 1251 35509 23
e 15351 47933 23
e 42216 89566 23
e 63328 72591 23
e 14767 32779 23
e 82555 94467 23
e 17044 62314 23
e 21511 67181 23
e 29631 47940 23
e 11275 96788 23
e 18045 51432 23
e 11313 60833 23
e 43586 71785 23
e 9462 61312 23
e 43695 58233 23
e 43768 44811 23
e 31249 89983 23
e 5456 20385 23
e 65769 80518 23
e 7977 27574 23
e 43932 85121 23
e 44579 61265 23
e 81897 90409 23
e 60726 98787 23
e 854 45297 23
e 63116 81512 23
e 4602 70223 23
e 5318 5995 23
e 1686 60536 23
e 17132 17267 23
e 13570 79774 23
e 11886 35323 23
e 81636 88637 23
e 19617 67975 23
e 33122 42857 23
e 13423 19913 23
e 17045 38760 24
e 85022 95171 24
e 62347 81103 24
e 16264 62441 24
e 1493 81600 24
e 14951 41123 24
e 1166 78198 24
e 6673 72158 24
e 8984 13194 24
e 334 87079 24
e 18787 36797 24
e 24678 60394 24
e 39070 90787 24
e 47755 59338 24
e 58545 92632 24
e 66941 69310 24
e 40758 47018 24
e 931 6650 24
e 46004 73580 24
e 48742 57686 24
e 28323 66000 24
e 13061 95222 24
e 66 17255 24
e 58789 72686 24
e 59538 88055 24
e 49820 51208 24
e 5370 69081 24
e 18007 25404 24
e 80885 96090 24
e 12799 33902 24
e 66332 73998 24
e 28207 32292 24
e 7503 10375 24
e 12790 54765 24
e 35965 94256 24
e 6267 32726 24
e 18028 47764 24
e 67908 69553 24
e 52216 90404 24
e 74438 85377 24
e 43549 68817 24
e 30917 36734 24
e 21351 34504 24
e 2002 21304 24
e 11821 26966 24
e 11354 90556 24
e 20883 79436 24
e 34538 61364 24
e 62983 70412 24
e 20037 33526 24
e 51760 78018 24
e 15784 27055 24
e 55863 59971 24
e 24700 32786 24
e 16869 99796 24
e 3999 10141 24
e 5181 69425 24
e 57632 80171 24
e 7824 9285 24
e 30113 88267 24
e 49048 86800 24
e 4359 88747 24
e 19880 23536 24
e 3853 80048 24
e 41740 78003 24
e 10646 96486 24
e 11640 41177 24
e 14052 73342 24
e 50764 57932 24
e 38374 56334 24
e 69930 80094 24
e 10750 61280 24
e 9067 36830 24
e 32817 95603 24
e 16682 50998 25
e 54849 89823 25
e 32873 43854 25
e 88681 95869 25
e 21092 52993 25
e 8669 73278 25
e 33136 65314 25
e 78962 99750 25
e 79008 90251 25
e 79190 82500 25
e 33801 83231 25
e 2129 76069 25
e 34039 34466 25
e 1784 99486 25
e 31451 59019 25
e 50029 71589 25
e 34268 46376 25
e 49861 77351 25
e 66760 97496 25
e 11727 45282 25
e 35044 49194 25
e 7684 21431 25
e 11843 75358 25
e 48449 87924 25
e 58324 79274 25
e 69851 80545 25
e 30822 62214 25
e 22776 66774 25
e 47255 92767 25
e 39342 79445 25
e 12975 61698 25
